ENTITY,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,N_ATTEMPTS,N_MADE,TYPICAL_VALUE,FG_PCT,EV,RISK_VAR,LOW_SAMPLE,EFF_FULL,EFF_NONRA
Stephen Curry,Mid-Range,Right Side Center(RC),34,10,2,0.29411764705882354,0.5882352941176471,0.8304498269896194,False,True,True
Stephen Curry,Mid-Range,Right Side(R),37,20,2,0.5405405405405406,1.0810810810810811,0.9934258582907232,False,False,True
Stephen Curry,Restricted Area,Center(C),169,108,2,0.6390532544378699,1.2781065088757397,0.922656769720948,False,True,
Stephen Curry,Right Corner 3,Right Side(R),36,20,3,0.5555555555555556,1.6666666666666667,2.222222222222222,False,True,True
Nikola Jokic,Above the Break 3,Center(C),110,39,3,0.35454545454545455,1.0636363636363637,2.059586776859504,False,False,False
Nikola Jokic,Above the Break 3,Left Side Center(LC),43,18,3,0.4186046511627907,1.255813953488372,2.190373174689021,False,False,False
Nikola Jokic,Above the Break 3,Right Side Center(RC),62,24,3,0.3870967741935484,1.1612903225806452,2.1352757544224765,False,False,False
Nikola Jokic,Backcourt,Back Court(BC),8,0,3,0.0,0.0,0.0,True,,
Nikola Jokic,In The Paint (Non-RA),Center(C),496,304,2,0.6129032258064516,1.2258064516129032,0.9490114464099897,False,False,False
Nikola Jokic,In The Paint (Non-RA),Left Side(L),15,11,2,0.7333333333333333,1.4666666666666666,0.7822222222222224,True,True,True
Nikola Jokic,In The Paint (Non-RA),Right Side(R),24,15,2,0.625,1.25,0.9375,False,False,False
Nikola Jokic,Left Corner 3,Left Side(L),5,2,3,0.4,1.2,2.16,True,False,False
Nikola Jokic,Mid-Range,Center(C),78,31,2,0.3974358974358974,0.7948717948717948,0.957922419460881,False,False,False
Nikola Jokic,Mid-Range,Left Side Center(LC),6,2,2,0.3333333333333333,0.6666666666666666,0.8888888888888888,True,False,False
Nikola Jokic,Mid-Range,Left Side(L),29,15,2,0.5172413793103449,1.0344827586206897,0.9988109393579072,False,False,False
Nikola Jokic,Mid-Range,Right Side Center(RC),16,7,2,0.4375,0.875,0.984375,True,False,False
Nikola Jokic,Mid-Range,Right Side(R),39,19,2,0.48717948717948717,0.9743589743589743,0.9993425378040762,False,False,False
Nikola Jokic,Restricted Area,Center(C),477,335,2,0.7023060796645703,1.4046121593291405,0.8362890005230101,False,False,
Nikola Jokic,Right Corner 3,Right Side(R),3,0,3,0.0,0.0,0.0,True,True,True
Giannis Antetokounmpo,Above the Break 3,Center(C),57,14,3,0.24561403508771928,0.7368421052631579,1.6675900277008313,False,False,False
Giannis Antetokounmpo,Above the Break 3,Left Side Center(LC),41,13,3,0.3170731707317073,0.9512195121951219,1.94883997620464,False,False,True
Giannis Antetokounmpo,Above the Break 3,Right Side Center(RC),22,7,3,0.3181818181818182,0.9545454545454546,1.9524793388429753,False,False,True
Giannis Antetokounmpo,Backcourt,Back Court(BC),1,0,3,0.0,0.0,0.0,True,,
Giannis Antetokounmpo,In The Paint (Non-RA),Center(C),207,80,2,0.3864734299516908,0.7729468599033816,0.9484468715722654,False,False,True
Giannis Antetokounmpo,In The Paint (Non-RA),Left Side(L),7,1,2,0.14285714285714285,0.2857142857142857,0.4897959183673469,True,True,True
Giannis Antetokounmpo,In The Paint (Non-RA),Right Side(R),4,0,2,0.0,0.0,0.0,True,True,True
Giannis Antetokounmpo,Left Corner 3,Left Side(L),3,0,3,0.0,0.0,0.0,True,True,True
Giannis Antetokounmpo,Mid-Range,Center(C),41,15,2,0.36585365853658536,0.7317073170731707,0.9280190362879238,False,False,True
Giannis Antetokounmpo,Mid-Range,Left Side Center(LC),45,15,2,0.3333333333333333,0.6666666666666666,0.8888888888888888,False,False,True
Giannis Antetokounmpo,Mid-Range,Left Side(L),62,24,2,0.3870967741935484,0.7741935483870968,0.9490114464099896,False,False,True
Giannis Antetokounmpo,Mid-Range,Right Side Center(RC),12,3,2,0.25,0.5,0.75,True,False,True
Giannis Antetokounmpo,Mid-Range,Right Side(R),14,4,2,0.2857142857142857,0.5714285714285714,0.8163265306122449,True,False,True
Giannis Antetokounmpo,Restricted Area,Center(C),853,661,2,0.7749120750293084,1.5498241500586167,0.6976934040123197,False,True,
